"","1","2","3","4","5","6","7","8"
"1",1,0,0,0,0,0,0,0
"2",0.684908142061755,0.266353166357349,0.0443921943928915,0.00411038836971218,0.000228354909428454,7.61183031428181e-06,1.40959820634848e-07,1.11872873519721e-09
"3",0.459057664647791,0.378047488533475,0.133428525364756,0.0261624559538737,0.00307793599457338,0.00021726607020518,8.52023804726195e-06,1.43197278105243e-07
"4",0.300306458172966,0.394152226352018,0.22171062732301,0.0692845710384407,0.0129908570697076,0.00146147142034211,9.13419637713818e-05,2.4466597438763e-06
"5",0.191145292490336,0.35680454598196,0.285443636785568,0.126863838571364,0.0338303569523636,0.00541285711237818,0.000481142854433616,1.83292515974711e-05
"6",0.117929116002626,0.294822790006565,0.31588156072132,0.188024738524595,0.0671516923302125,0.0143896483564741,0.00171305337577073,8.7400682437282e-05
"7",0.0701985690589105,0.226795376959557,0.314024368097849,0.241557206229114,0.111487941336514,0.0308735837547271,0.00474978211611185,0.000313172447216166
"8",0.0400860732436692,0.163684799078316,0.286448398387053,0.278491498431857,0.16245337408525,0.0568586809298375,0.0110558546252462,0.000921321218770516
"9",0.0218008581654017,0.110986187023863,0.242151680779338,0.29351718882344,0.213467046417048,0.093149256618348,0.0225816379680844,0.0023461442044763
"10",0.0111872873519721,0.0704799103174241,0.190295757857045,0.285443636785568,0.256899273107011,0.138725607477786,0.0416176822433358,0.00535084485985746
"11",0.00535084485985746,0.0416176822433358,0.138725607477786,0.256899273107011,0.285443636785568,0.190295757857045,0.0704799103174242,0.0111872873519721
"12",0.00234614420447629,0.0225816379680843,0.0931492566183479,0.213467046417047,0.29351718882344,0.242151680779338,0.110986187023863,0.0218008581654018
"13",0.000921321218770513,0.0110558546252462,0.0568586809298374,0.16245337408525,0.278491498431857,0.286448398387053,0.163684799078316,0.0400860732436693
"14",0.000313172447216166,0.00474978211611185,0.030873583754727,0.111487941336514,0.241557206229114,0.314024368097849,0.226795376959557,0.0701985690589106
"15",8.74006824372817e-05,0.00171305337577072,0.0143896483564741,0.0671516923302124,0.188024738524595,0.31588156072132,0.294822790006565,0.117929116002626
"16",1.83292515974711e-05,0.000481142854433615,0.00541285711237817,0.0338303569523636,0.126863838571363,0.285443636785568,0.35680454598196,0.191145292490336
"17",2.44665974387629e-06,9.13419637713815e-05,0.0014614714203421,0.0129908570697076,0.0692845710384406,0.22171062732301,0.394152226352018,0.300306458172966
"18",1.43197278105241e-07,8.52023804726188e-06,0.000217266070205178,0.00307793599457336,0.0261624559538736,0.133428525364756,0.378047488533475,0.459057664647792
"19",1.1187287351972e-09,1.40959820634847e-07,7.61183031428176e-06,0.000228354909428453,0.00411038836971216,0.0443921943928914,0.266353166357349,0.684908142061755
"20",0,0,0,0,0,0,0,1
